12	Codex Language Specification — Version 1.0.0	All normative requirements for Codex 1.0.0 MUST appear exactly once in this document.
1790	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	The decoded `address` text MUST NOT contain Unicode bidirectional control characters.
1792	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	The decoded `address` text MUST NOT contain Unicode private-use characters.
1794	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	For all Unicode character classifications referenced by this section (whitespace, control, bidirectional control, and private-use), tools MUST use the Unicode 16.0.0 character property tables.
1796	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	The `local` part MUST be non-empty.
1798	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	The `domain` part MUST be non-empty.
1800	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	Email Address Values MUST be canonicalized as follows:
1806	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	If any step fails, Codex-conforming tools MUST reject the Email Address Value spelling with a `SchemaError` (§14).
1808	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	In canonical surface form, Email Address Values MUST be spelled as `email("<local>@<ascii-domain>")`, where `<local>` is the NFC-normalized local part and `<ascii-domain>` is the canonicalized lowercase ASCII domain.
1810	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.21 Email Address Values	An Email Address Value MUST NOT be treated as a Text Value.
1818	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values	In the Surface Form, URL Values MUST be spelled using one of the following two forms:
1823	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values	The keyword `url` MUST be spelled using ASCII lowercase letters.
1825	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values	Both arguments MUST be Text Values. Optional whitespace is permitted after `(`, before `)`, and around the comma in the two-argument form.
1827	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values	For all Unicode character classifications referenced by this section (whitespace, control, bidirectional control, and private-use), tools MUST use the Unicode 16.0.0 character property tables.
1829	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values	After interpreting Text Value escape sequences, the decoded URL text MUST NOT contain Unicode whitespace characters, Unicode control characters, Unicode bidirectional control characters, or Unicode private-use characters.
1831	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values	The decoded URL text MUST contain only ASCII characters.
1846	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.1 URL Parsing Model	1. The decoded URL text MUST contain a `:` character.
1847	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.1 URL Parsing Model	2. The `scheme` MUST be non-empty.
1848	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.1 URL Parsing Model	3. The first character of `scheme` MUST be an ASCII letter (`A`–`Z` or `a`–`z`).
1849	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.1 URL Parsing Model	4. The remaining characters of `scheme` MUST be ASCII letters, digits, `+`, `-`, or `.`.
1850	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.1 URL Parsing Model	5. If an `authority` is present, it MUST be non-empty.
1874	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.2 URL Resolution (two-argument form)	If parsing or resolution fails, tools MUST reject with a `SchemaError` (§14).
1878	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.3 URL Canonicalization	After obtaining the resolved URL components (one-argument form parses directly; two-argument form resolves then parses), tools MUST canonicalize as follows:
1892	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.3 URL Canonicalization	If canonicalization fails at any step, tools MUST reject with a `SchemaError` (§14).
1894	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.3 URL Canonicalization	In canonical surface form, URL Values MUST be spelled using the single-argument form `url("<canonical-url>")` where `<canonical-url>` is the canonical serialized URL string.
1896	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.22 URL Values > 5.22.3 URL Canonicalization	A URL Value MUST NOT be treated as a Text Value.
1915	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait	Every Entity MUST have exactly one `id` trait. If an Entity lacks an `id` trait, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).
1917	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait	Every non-Entity MUST NOT have an `id` trait. If a non-Entity declares an `id` trait, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).
1919	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait	The value of an `id` trait MUST be an IRI Reference Value (§5.9). If the value of an `id` trait is not an IRI Reference Value, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).
1921	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait	Codex-conforming tools MUST NOT synthesize an `id` trait.
1925	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.2 Uniqueness	Within a single document, each `id` value MUST be unique across all Entities. If a document contains duplicate `id` values, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).
1931	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.3 Stability	Once an `id` value is assigned to an Entity, that `id` value MUST continue to refer to the same Entity.
1933	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.3 Stability	Changing an Entity's `id` value MUST be treated as creating a new Entity.
1939	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.3 Concept Keys > 6.3.1 The `key` Trait	A Concept MUST NOT declare more than one `key` trait (see §3 for the general duplicate trait name prohibition).
1941	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.3 Concept Keys > 6.3.1 The `key` Trait	The value of a `key` trait MUST be a Lookup Token Value (§5.10). If the value of a `key` trait is not a Lookup Token Value, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).
1943	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.3 Concept Keys > 6.3.1 The `key` Trait	Codex-conforming tools MUST NOT synthesize a `key` trait.
1947	Codex Language Specification — Version 1.0.0 > 6. Identity > 6.3 Concept Keys > 6.3.2 Uniqueness	Within a single document, each `key` value MUST be unique across all Concepts. If a document contains duplicate `key` values, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).
1971	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.1 Reference Traits Overview	The value of each reference Trait MUST be either an IRI Reference Value (see §5.9) or a Lookup Token Value (see §5.10). The value of a reference Trait MUST NOT be any other Value kind. If the value of a reference Trait is not an IRI Reference Value or a Lookup Token Value, Codex-conforming tools MUST reject that document with a `ReferenceError` (§14).
1973	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.1 Reference Traits Overview	Reference Traits MUST be interpreted only as declarative relationships.
1975	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.1 Reference Traits Overview	Reference Traits MUST NOT imply dereferencing, loading, execution, or transformation.
1977	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.1 Reference Traits Overview	Reference Traits MUST NOT imply any automatic or external resolution beyond what is explicitly defined by this specification or the governing schema.
1979	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.1 Reference Traits Overview	A Concept instance MUST NOT declare a reference Trait unless authorized by the governing schema. If a Concept instance declares an unauthorized reference Trait, Codex-conforming tools MUST reject that document with a `SchemaError` (§14).
1981	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.1 Reference Traits Overview	Where reference Traits are authorized, the governing schema MUST define any additional semantics beyond the intent statements in this section.
1989	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.2 `reference`	The `reference` Trait MUST NOT imply action, application, scope, execution, or transformation.
1999	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.4 `for`	If a `for` reference is used to denote a Concept type, it MUST reference the `ConceptDefinition` Entity for that Concept by identity reference.
2003	Codex Language Specification — Version 1.0.0 > 7. Reference Traits > 7.5 Singleton Rule	If a governing schema requires that at most one of `reference`, `target`, or `for` be present on a Concept instance, it MUST express that requirement using `ReferenceConstraint(type=ReferenceSingleton)`.
2054	Codex Language Specification — Version 1.0.0 > 8. Surface Form	A Codex document MUST contain exactly one root Concept instance.
2058	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.1 File Encoding	Codex documents MUST be encoded in UTF-8 or UTF-16.
2060	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.1 File Encoding	The canonical encoding is UTF-8 with no Byte Order Mark (BOM). Canonicalization MUST normalize UTF-16 encoded input to UTF-8, removing the BOM.
2062	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.1 File Encoding	UTF-8 encoded files MUST NOT include a Byte Order Mark (BOM).
2064	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.1 File Encoding	UTF-16 encoding MUST be indicated by a BOM at the start of the file:
2069	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.1 File Encoding	Codex-conforming tools MUST determine the file encoding as follows:
2075	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.1 File Encoding	Codex-conforming tools MUST reject any other encoding with a `ParseError` (§14).
2081	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.2 Line Endings	Codex-conforming tools MUST normalize CRLF (`\r\n`) sequences to LF on input.
2083	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.2 Line Endings	Codex-conforming tools MUST reject bare CR (`\r`) with a `ParseError` (§14).
2085	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.2 Line Endings	In canonical surface form, a Codex document MUST end with a trailing LF.
2093	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	- A root Concept instance MUST have no indentation (column 0).
2094	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	- Direct children of a root Concept instance MUST be indented by exactly one tab.
2095	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	- Each additional nesting level MUST increase indentation by exactly one additional tab.
2097	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	Codex-conforming formatters MUST normalize indentation before semantic validation proceeds.
2099	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	Codex-conforming tools MUST NOT treat author indentation as authoritative.
2101	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	In the Surface Form, indentation MUST use U+0009 TAB characters only.
2103	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	Codex-conforming tools MUST reject any U+0020 SPACE character that appears in the indentation prefix of any of the following lines with a `ParseError` (§14):
2109	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.3 Indentation	If indentation cannot be normalized deterministically, Codex-conforming tools MUST fail with a `FormattingError` (§14).
2115	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	In canonical surface form, a Codex document MUST NOT start with a blank line.
2117	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	Outside of content blocks (see §8.8) and annotations (see §8.9), Codex-conforming tools MUST NOT produce two consecutive blank lines in canonical surface form.
2119	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	In canonical surface form, if no grouping or general annotations appear between two sibling Concept instances, there MUST be exactly one blank line between them.
2121	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	For the purposes of this rule, an attached-annotation stack (see §8.9.6.1) MUST be treated as part of the Concept instance it attaches to.
2125	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	In canonical surface form, Codex-conforming tools MUST reject documents containing any of the following with a `FormattingError` (§14):
2133	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	Codex-conforming tools MUST treat a line containing only whitespace as empty after normalization. This is a canonicalization rule: trailing whitespace on a line is stripped during Phase 1 canonicalization (§10.4). In canonical form, a blank line contains no characters before its newline.
2135	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	Annotation blank-line rules MUST be defined by the rules for annotations (see §8.9).
2137	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.4 Blank Lines	Blank line restrictions in this section MUST NOT be applied to content.
2141	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers	A Concept instance MUST be delimited by a Concept marker.
2151	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.1 Opening Marker	An opening marker MUST be spelled as:
2165	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.1 Opening Marker	The Concept name (or qualified Concept name) MUST follow the naming rules defined by this specification (§4.1). If the name does not conform to §4.1, Codex-conforming tools MUST reject the document with a `ParseError` (§14).
2169	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.1 Opening Marker	If multiple Traits are present, they MUST be ordered per §8.6.
2173	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.2 Closing Marker	A closing marker MUST be spelled as:
2185	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.2 Closing Marker	The closing marker MUST match the most recent unclosed opening marker (see §3.6). A qualified closing marker MUST match a qualified opening marker exactly, including the namespace prefix.
2187	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.2 Closing Marker	The closing marker MUST appear on its own line after indentation. If the closing marker does not appear on its own line, Codex-conforming tools MUST reject the document with a `SurfaceFormError` (§14).
2189	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.2 Closing Marker	Additional content MUST NOT appear on the closing marker line. If additional content appears on the closing marker line, Codex-conforming tools MUST reject the document with a `SurfaceFormError` (§14).
2193	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.3 Self-Closing Marker	A self-closing marker MUST be spelled as:
2209	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.3 Self-Closing Marker	Whitespace MUST appear immediately before `/>` in a self-closing marker.
2213	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.3 Self-Closing Marker	If multiple Traits are present, they MUST be ordered per §8.6.
2217	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.5 Concept Markers > 8.5.4 Empty Block Concepts	Codex-conforming tools MUST reject the form `<ConceptName></ConceptName>` with a `ParseError` (§14).
2221	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits	A Trait MUST be spelled as:
2227	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits	The `traitName` MUST follow the naming rules defined by this specification (§4.1). If the name does not conform to §4.1, Codex-conforming tools MUST reject the document with a `ParseError` (§14).
2229	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits	Whitespace MUST NOT appear around the `=` separator. If whitespace appears around `=`, Codex-conforming tools MUST reject the document with a `SurfaceFormError` (§14).
2231	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits	Traits MUST be separated by whitespace (space or newline).
2233	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits	If multiple Traits are present, canonical form MUST order them alphabetically by Trait name.
2239	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits > 8.6.1 Canonical Trait Formatting	To determine layout, Codex-conforming tools MUST compute the total length of the Concept marker as if all Traits appeared on a single line: leading indentation, the `<` character, the Concept name, a space before each Trait, each `name=value` pair, and the closing `>` or ` />`. For this computation, each tab character (U+0009) MUST be counted as 2 characters.
2241	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits > 8.6.1 Canonical Trait Formatting	If the computed length is 100 characters or fewer, all Traits MUST appear on the same line as the Concept marker.
2243	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits > 8.6.1 Canonical Trait Formatting	If the computed length exceeds 100 characters, all Traits MUST be stacked: each Trait MUST appear on its own line, indented exactly one nesting level deeper than the Concept marker. The closing `>` or `/>` MUST appear on its own line at the same indentation level as the opening `<`.
2245	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits > 8.6.1 Canonical Trait Formatting	A single `name=value` pair MUST NOT be wrapped across lines, even if it exceeds 100 characters.
2247	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits > 8.6.1 Canonical Trait Formatting	A Backtick Text Value MUST NOT appear as an inline Trait value. If a Trait value is expressed as a Backtick Text Value, it MUST use its multiline form, which forces the Concept marker into stacked layout. Alternatively, the value MUST be converted to a Quoted Text Value.
2249	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.6 Traits > 8.6.1 Canonical Trait Formatting	If a document violates any formatting rule in this section, Codex-conforming tools MUST reject the document with a `FormattingError` (§14).
2283	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes)	Codex-conforming tools MUST NOT evaluate, interpret, or normalize Values beyond recognizing their Value type and literal structure.
2285	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes)	A Trait value spelling MUST match exactly one Value spelling defined by this specification (see §5).
2287	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes)	If a Trait value spelling does not match any Value spelling defined by this specification, Codex-conforming tools MUST reject it with a `ParseError` (§14).
2289	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes)	Within a Concept marker, a Value MUST terminate at the first of the following:
2294	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes)	While scanning for Value termination, Codex-conforming tools MUST respect balanced delimiters as required by the Value spellings defined in §5, including `[]`, `{}`, `()`, `''`, and `""`.
2296	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes)	Except where permitted by a Value spelling (for example, within text and character literals), leading and trailing whitespace MUST NOT be treated as part of a Value.
2300	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.1 Value Type Disambiguation	When a maximal Value token (recognized under the termination rules above) could match the spelling rules of more than one Value type, tools MUST resolve the type by deterministic precedence. The Value type MUST be the first match in the following order:
2318	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.1 Value Type Disambiguation	If a token matches multiple Value type spellings at the same precedence level, tools MUST reject it with a `ParseError` (§14).
2322	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	Codex-conforming tools MUST accept multiline spellings for Value literals that use balanced delimiters, including list (`[...]`), set (`set[...]`), map (`map[...]`), record (`record[...]`), and tuple (`(...)`).
2326	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	* Line breaks within a balanced Value literal MUST be treated as whitespace.
2327	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	* Whitespace between elements, entries, or delimiters MUST NOT be treated as significant.
2328	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	* Whitespace MUST NOT terminate the Value.
2330	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	In canonical surface form, exactly one space MUST follow each comma separator within a balanced Value literal. All other optional whitespace within balanced Value literals MUST be removed. Mandatory whitespace required by a specific production MUST be preserved.
2332	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	Outside of balanced delimiters, a Value literal MUST be fully contained on a single line.
2334	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.7 Values (Surface Parsing Notes) > 8.7.2 Multiline Value Literals	Codex-conforming tools MUST determine Value boundaries solely by balanced delimiter matching and MUST NOT treat line boundaries as semantically significant within a Value literal.
2340	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks	Content MUST NOT be interpreted as Codex structure, Traits, or Values.
2344	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.1 Content Termination	Codex-conforming tools MUST identify the end of content by scanning for the closing marker that matches the opening Concept name: `</ConceptName>`.
2356	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.2 Content Escaping	A raw `<` character MUST NOT appear anywhere in content.
2358	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.2 Content Escaping	A raw `[` character MUST NOT appear as the first non-indentation character of a content line. This preserves schema-less determinism of content-versus-children body mode (see §10.1.1.1).
2360	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.2 Content Escaping	Codex-conforming tools MUST reject violations of these content escaping rules with a `ParseError` (§14).
2364	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.3 Content Indentation Normalization	Codex-conforming tools MUST store and process content without its canonical leading indentation.
2366	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.3 Content Indentation Normalization	In canonical surface form, each non-blank content line MUST be indented exactly one nesting level deeper than its enclosing Concept instance.
2370	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.3 Content Indentation Normalization	Codex-conforming tools MUST remove exactly that canonical leading indentation from each non-blank content line when producing the logical content.
2372	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.3 Content Indentation Normalization	Codex-conforming tools MUST preserve all characters following the removed indentation, including any additional leading whitespace.
2374	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.3 Content Indentation Normalization	If a non-blank content line does not have the required canonical leading indentation after indentation normalization, Codex-conforming tools MUST fail with a `FormattingError` (§14).
2376	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.3 Content Indentation Normalization	Indentation normalization is schema-free and MUST be performed before schema-directed processing.
2380	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	Whitespace mode normalization is schema-directed and MUST be performed during schema-directed processing.
2386	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	* Codex-conforming tools MUST preserve all content whitespace exactly after indentation normalization.
2390	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	* Codex-conforming tools MUST collapse each run of whitespace characters (spaces, tabs, and line breaks) to a single U+0020 SPACE.
2391	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	* Codex-conforming tools MUST trim leading and trailing whitespace from the resulting content.
2392	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	* In canonical surface form, Codex-conforming tools MUST wrap content to lines of at most 100 characters, including canonical indentation, breaking at whitespace boundaries. For this computation, each tab character (U+0009) MUST be counted as 2 characters. If a non-breakable sequence plus its canonical indentation exceeds 100 characters, it MUST appear on its own line without wrapping.
2393	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	* Each wrapped line MUST be indented exactly one nesting level deeper than the enclosing Concept instance.
2395	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.8 Content Blocks > 8.8.4 Whitespace Mode Normalization	Schema-less processing MUST treat all content as `$Preformatted` (preserve all whitespace after indentation normalization).
2466	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations	Codex-conforming tools MUST preserve annotations without interpretation.
2474	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.1 Annotation Forms > 8.9.1.1 Inline Annotation	An inline annotation MUST use `[` and `]` on the same line.
2483	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.1 Annotation Forms > 8.9.1.2 Block Annotation	A block annotation MUST use `[` and `]` on their own lines.
2496	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.1 Annotation Forms > 8.9.1.2 Block Annotation	Annotations MUST be permitted at top-level and within bodies interpreted as containing child Concepts.
2498	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.1 Annotation Forms > 8.9.1.2 Block Annotation	Annotations MUST NOT appear inside Concept markers (that is, inside `<Concept …>`, `</Concept>`, or `<Concept />`).
2502	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.2 Structural Rules	The opening `[` MUST be the first non-whitespace character on its line.
2504	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.2 Structural Rules	For an inline annotation, the closing `]` MUST appear on the same line.
2508	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.2 Structural Rules	* The line containing `[` MUST contain no other non-whitespace characters.
2509	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.2 Structural Rules	* The closing `]` MUST appear as the first non-whitespace character on its own line.
2510	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.2 Structural Rules	* The closing `]` line MUST contain no other non-whitespace characters.
2512	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.2 Structural Rules	If a document violates any structural rule in this section, Codex-conforming tools MUST reject the document with a `SurfaceFormError` (§14).
2529	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.4 Canonical Form > 8.9.4.1 Inline Annotation Canonicalization	Codex-conforming tools MUST canonicalize inline annotations as follows:
2531	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.4 Canonical Form > 8.9.4.1 Inline Annotation Canonicalization	* Leading and trailing whitespace inside the brackets MUST be trimmed.
2532	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.4 Canonical Form > 8.9.4.1 Inline Annotation Canonicalization	* Internal runs of whitespace (spaces and tabs) MUST be collapsed to a single space.
2533	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.4 Canonical Form > 8.9.4.1 Inline Annotation Canonicalization	* Escaped closing brackets MUST remain escaped (that is, `\]` MUST remain spelled as `\]`).
2537	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.4 Canonical Form > 8.9.4.2 Block Annotation Canonicalization	Block annotations MUST preserve their internal line structure.
2539	Codex Language Specification — Version 1.0.0 > 8. Surface Form > 8.9 Annotations > 8.9.4 Canonical Form > 8.9.4.2 Block Annotation Canonicalization	Codex-conforming tools MUST normalize block-annotation line endings to LF.
