2640	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture	A conforming implementation MUST provide schema-directed validation.
3148	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	Because `id` has no `traitPredicateIri` representation in the instance graph, schema definitions MUST NOT target `id` through generic trait mechanisms (`TraitRules`, `TraitPath`, `TraitExists`, `TraitMissing`, `TraitEquals`). The `id` trait is governed by `entityEligibility` (§6.1) and identity constraints (§9.9.6, §9.9.7). If a generic trait mechanism references `id`, derived validation artifact generation MUST fail with a `SchemaError` (§14).
3150	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	`valueTerm(v)` MUST be:
3157	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	For typed literals, the datatype IRI MUST be computed by `valueDatatypeIri(v)` and the lexical form MUST be computed by `valueLex(v)`.
3159	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	Both `valueDatatypeIri(v)` and `valueLex(v)` MUST be derived by parsing `v` according to the Codex value catalog.
3161	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	`valueDatatypeIri(v)` MUST be:
3168	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	For all other scalar value types, `valueDatatypeIri(v)` MUST be the deterministic URN:
3176	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	`valueLex(v)` MUST be:
3183	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	For all other scalar value types, `valueLex(v)` MUST be the canonical surface spelling of `v`.
3185	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	Lookup Token Values MUST be represented as typed literals with:
3190	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	When an Enumerated Token Value `v` appears on a trait that is constrained by an `EnumeratedValueSet` `E` (via `AllowedValues` containing an `EnumeratedConstraint` referencing `E`), `valueTerm(v)` MUST be the IRI:
3202	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	If a schema constraint requires an interpreted value (for example, numeric comparisons or text length), schema processing MUST provide the interpreted value in a deterministic RDF representation.
3206	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	When a trait value `v` is a collection (List, Set, Map, Record, Tuple, or Range), `valueTerm(v)` MUST NOT be a typed literal. Instead, the value MUST be represented as a structured collection graph using the standard RDF list vocabulary (`rdf:first`, `rdf:rest`, `rdf:nil`) and reserved Codex predicates.
3208	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	All collection graph nodes MUST be IRIs. No blank nodes are permitted (§9.6.1).
3217	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	List node IRIs MUST follow the same pattern as §9.6.3:
3221	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	The list head node is at position 0. `valueTerm(v)` for the trait MUST be `listNodeIri(collectionAnchor, 0)`.
3223	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	If the collection is empty (zero elements), `valueTerm(v)` MUST be `rdf:nil`.
3229	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	For each position `i` from 0 to n-1, the mapping MUST emit:
3236	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	Sets use the same RDF list encoding as Lists. Element order in the RDF list MUST match canonical source order (§5.14).
3242	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	For each position `i` from 0 to n-1, let `entryIri = listNodeIri(collectionAnchor, i) + "/__entry"`. The mapping MUST emit:
3249	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	Entry order in the RDF list MUST match canonical source order.
3253	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	For a Range `start..end` (with optional step), let the components be `start`, `end`, and (if present) `step`. A Range MUST be encoded as a single RDF resource (not a list). Let `rangeIri = nodeIri(C) + "/range/" + iriHash(traitPredIri)`. The mapping MUST emit:
3259	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	`valueTerm(v)` for a Range MUST be `rangeIri`.
3263	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	Each element `e` within a collection MUST be mapped to an RDF term as follows:
3265	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	- If `e` is an IRI Reference Value, `elementTerm(e)` MUST be the IRI.
3266	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	- If `e` is an Enumerated Token Value and the governing trait is constrained by an `EnumeratedValueSet` `E`, `elementTerm(e)` MUST be the IRI `E.id + "#" + tokenName(e)`.
3267	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	- If `e` is a nested collection (List, Set, Map, Record, Tuple, or Range), `elementTerm(e)` MUST be the head IRI of the nested collection's graph. Let `nestedAnchor = listNodeIri(collectionAnchor, i) + "/__value"`, where `i` is the position of the element in the parent collection. For nested List, Set, Map, Record, or Tuple collections, the nested collection anchor is `nestedAnchor` and the list head IRI is `nestedAnchor + "/0"`. For a nested Range, the range IRI is `nestedAnchor` directly. The nested collection graph MUST be emitted following the same rules defined in this section.
3268	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	- Otherwise, `elementTerm(e)` MUST be the typed literal `valueLex(e)^^valueDatatypeIri(e)`, using the scalar rules defined in §9.7.8.
3270	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms > 9.7.8.1 Collection Value Graphs	This rule replaces the typed-literal representation for collection values. A collection value on a trait MUST always produce a collection graph; it MUST NOT produce a typed literal.
3274	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.9 Content	If a concept instance is in content mode, the mapping MUST emit:
3278	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.9 Content	`contentText` MUST be an `xsd:string` literal containing the concept's content after applying the Codex content escaping rules.
3282	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	Trait predicate IRIs MUST be derived as follows.
3286	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	- If the governing schema contains exactly one `TraitDefinition` for `t`, `traitPredicateIri(t)` MUST be that `TraitDefinition`'s `id`.
3287	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	- If an imported schema contains the `TraitDefinition` for `t` (resolved via a qualified Trait name in the governing schema's `ConceptDefinition`), `traitPredicateIri(t)` MUST be the imported schema's `TraitDefinition.id` for `t`.
3288	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	- If the governing schema contains zero `TraitDefinition` entries for `t` (including imported schemas), validation MUST fail with a `SchemaError` (§14).
3289	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	- If the governing schema contains more than one `TraitDefinition` for `t`, validation MUST fail with a `SchemaError` (§14).
3291	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	Child predicate IRIs MUST be derived as follows.
3295	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	- `childPredicateIri(P,Q)` MUST be `P + "#child/" + iriHash(Q)`.
3297	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.10 Deterministic Predicate IRIs	When the child Concept `Q` is from an imported schema (referenced via a qualified Concept name per §4.1.1), `Q` MUST be the `ConceptDefinition.id` from the imported schema. The child predicate IRI derivation MUST use the imported schema's `ConceptDefinition.id`.
3301	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.11 RDF Types	Each Concept instance MUST emit an RDF type triple:
3305	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.11 RDF Types	`conceptClassIri(X)` MUST be the `ConceptDefinition.id` for concept name `X` in the governing schema, or in the imported schema if `X` is a qualified Concept name (§4.1.1).
3307	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.11 RDF Types	If `conceptClassIri(X)` cannot be resolved to exactly one `ConceptDefinition`, schema-driven validation MUST fail with a `SchemaError` (§14).
3313	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.12 Conformance Graph (`G₁`)	A conforming implementation MUST emit `G₁` in the Codex `RdfGraph` form defined in §9.6.1 and MUST apply the canonical ordering and duplicate-removal rules defined in §9.6.2.
3321	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.1 Resolution Table	The resolution table MUST be constructed solely from explicit `key` and `id` trait declarations. Resolution entries MUST NOT be inferred, synthesized, or imported implicitly.
3327	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.2 Resolution Semantics	* A lookup token MUST resolve to exactly one identifier in the resolution table.
3328	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.2 Resolution Semantics	* If no matching entry is found for a required lookup token, validation MUST fail with a `ReferenceError` (§14).
3330	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.2 Resolution Semantics	Lookup token resolution is declarative only and MUST NOT imply loading, dereferencing, or execution.
3334	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.3 Schema Interaction	A governing schema MUST specify, for each context where lookup token values are permitted, one of the following resolution requirements:
3336	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.3 Schema Interaction	* The lookup token MUST be resolvable.
3337	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.3 Schema Interaction	* The lookup token MUST NOT appear in the context.
3338	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.8 Lookup Token Resolution > 9.8.3 Schema Interaction	* The lookup token MUST pass through without resolution.
3342	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	Derived validation artifacts MUST be generated deterministically.
3344	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	Any derived validation artifact MUST be a pure function of:
3349	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	Derived validation artifact generation MUST fail with a `SchemaError` (§14) if any of the following hold:
3357	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	Derived validation artifacts MUST be expressed as SHACL, including SHACL-SPARQL constraints.
3359	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	A derived SHACL artifact MUST apply each constraint to the target node shape(s) determined as follows:
3361	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- For `TargetConcept conceptSelector="X"`, the constraint MUST be applied to the node shape derived from the `ConceptDefinition` whose `name` is `X`.
3362	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- For `TargetContext contextSelector="Document"`, the constraint MUST be applied to a special node shape with IRI `schemaIri + "#shape/Document"` and MUST include at least:
3365	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	If `documentBaseIri` is not available as an external input, derived validation artifact generation MUST fail with a `SchemaError` (§14).
3366	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- If `contextSelector` is a concept name (not `Document`), the constraint MUST be applied to the node shape for that concept.
3368	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	If a derived validation artifact is produced as a SHACL graph, it MUST be canonical and MUST include the following structural shape triples:
3370	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- For each `ConceptDefinition` in the governing schema with concept name `X`, let `K = conceptClassIri(X)` and let `S = nodeShapeIri(K)`. The derived artifact MUST include:
3373	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- If the derived artifact includes any constraint expressed on a property shape `PS`, it MUST include:
3376	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	and `PS` MUST be deterministically derived as follows:
3377	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- for a trait name `t`: `PS = propertyShapeIri(S,t)` and the artifact MUST include `(PS, sh:path, traitPredicateIri(t))`
3378	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- for a child class IRI `Q`: `PS = propertyShapeIri(S,Q)` and the artifact MUST include `(PS, sh:path, childPredicateIri(K,Q))`
3379	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- for a predicate IRI `p`: `PS = predicatePropertyShapeIri(S,p)` and the artifact MUST include `(PS, sh:path, p)`
3381	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	If a derived validation artifact expresses any constraint using SHACL-SPARQL, the `sh:select` text MUST be a SPARQL 1.1 `SELECT` query that returns one row per violating focus node using the SHACL-SPARQL convention:
3383	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- the focus node variable MUST be `?this`
3384	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- a row returned by the query MUST indicate a violation
3386	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	SPARQL text in derived artifacts MUST be canonically formatted. Internal SPARQL variables introduced during constraint translation MUST be allocated as follows:
3390	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- Any internal variable introduced while translating that node MUST append suffix `$k$` to a base name.
3391	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts	- Variables introduced for one rule node MUST NOT be referenced outside the `EXISTS { ... }` block created for that node.
3395	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.1 Enumerated Value Sets (`sh:in`)	A derived SHACL artifact encoding an enumerated value-set constraint MUST emit a triple `(PS, sh:in, listHead)` on the property shape `PS`.
3397	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.1 Enumerated Value Sets (`sh:in`)	The list encoding MUST conform to §9.6.3.
3401	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.2 Pattern Constraints (`sh:pattern`, `sh:flags`)	A derived SHACL artifact encoding a pattern constraint MUST emit a triple `(PS, sh:pattern, p)` on the property shape `PS`.
3403	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.2 Pattern Constraints (`sh:pattern`, `sh:flags`)	When `flags` is present and non-empty, the artifact MUST also emit a triple `(PS, sh:flags, f)`.
3405	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.2 Pattern Constraints (`sh:pattern`, `sh:flags`)	The `pattern` and `flags` semantics MUST be SPARQL 1.1 `REGEX` semantics (see §9.5.1).
3409	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.3 SHACL Core Value Constraints	A derived SHACL artifact encoding a value-length constraint on a property shape `PS` MUST emit:
3414	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.3 SHACL Core Value Constraints	A derived SHACL artifact encoding a non-empty constraint on a property shape `PS` MUST emit:
3418	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.3 SHACL Core Value Constraints	A derived SHACL artifact encoding a numeric-range constraint on a property shape `PS` MUST use SHACL Core numeric bounds. The active value datatype MUST be `xsd:integer`; any other active datatype is a `SchemaError` (§14).
3420	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.3 SHACL Core Value Constraints	The artifact MUST emit:
3429	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.4 Child Constraints	A derived SHACL artifact encoding a required-child constraint for a child concept selector `X` on a property shape `PS` MUST emit:
3435	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.4 Child Constraints	A derived SHACL artifact encoding a forbidden-child constraint for a child concept selector `X` on a property shape `PS` MUST emit:
3440	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.4 Child Constraints	An allowed-without-required child relationship MUST NOT produce a constraint in the derived SHACL artifact.
3444	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.5 Content Constraints	For content constraints, let `S` be the owning node shape. The property shape IRI MUST be `PS = predicatePropertyShapeIri(S, codex:content)`.
3446	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.5 Content Constraints	A derived SHACL artifact encoding a content-required constraint MUST emit:
3451	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.5 Content Constraints	A derived SHACL artifact encoding a content pattern constraint MUST emit:
3456	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.5 Content Constraints	When `flags` is present and non-empty, the artifact MUST also emit `(PS, sh:flags, f)`.
3458	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.5 Content Constraints	The `pattern` and `flags` semantics MUST be SPARQL 1.1 `REGEX` semantics (see §9.5.1).
3462	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	For identity constraints, let `S` be the owning node shape. The property shape IRI MUST be `PS = predicatePropertyShapeIri(S, codex:isEntity)`.
3464	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	A derived SHACL artifact encoding an identity constraint requiring an entity MUST emit:
3469	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	A derived SHACL artifact encoding an identity constraint requiring a non-entity MUST emit:
3474	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	Derived validation artifacts MUST support `IdentityConstraint(type=IdentifierUniqueness, scope=S)`.
3476	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	The `scope` trait MUST be present. For derived artifact purposes, `IdentityConstraint(type=IdentifierUniqueness, scope=S)` MUST be treated as `UniqueConstraint(trait=id, scope=S)` and MUST follow §9.9.7.
3478	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	Derived validation artifacts MUST support `IdentityConstraint(type=IdentifierForm, pattern=p, flags=f)`.
3480	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	This constraint MUST be expressed using SHACL-SPARQL.
3481	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	It MUST report a violation if the focus node is an Entity and either:
3486	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	The SHACL-SPARQL constraint MUST use the following boolean condition:
3497	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.6 Identity Constraints	where `p` is the required pattern and `f` is the flags text if present. When `flags` is absent, the generated constraint MUST use the 2-argument `REGEX(text, pattern)` form.
3501	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.7 Uniqueness Constraints	Derived validation artifacts MUST support the `UniqueConstraint` constraint (§11.9.4).
3503	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.7 Uniqueness Constraints	When a uniqueness constraint refers to `t = id`, it MUST refer to the declared identifier as represented by `codex:declaredId`.
3505	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.7 Uniqueness Constraints	For nearest-scope uniqueness, `UniqueConstraint(trait=t, scope=S)` MUST mean:
3519	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.7 Uniqueness Constraints	Derived validation artifact generation MUST fail with a `SchemaError` (§14) if no nearest scope node exists.
3521	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.7 Uniqueness Constraints	Derived validation artifacts MUST also enforce the document-wide uniqueness invariants for `id` (§6.2.2) and `key` (§6.3.2). Within a single document, two nodes MUST NOT share the same value for `codex:declaredId`, and two nodes MUST NOT share the same `key` trait value.
3525	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.8 Context Constraints	Derived validation artifacts MUST express `ContextConstraint(type=OnlyValidUnderParent)`.
3527	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.8 Context Constraints	The `contextSelector` trait MUST NOT be present. The SHACL-SPARQL constraint MUST use the following boolean condition:
3536	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.8 Context Constraints	Derived validation artifacts MUST express `ContextConstraint(type=OnlyValidUnderContext, contextSelector=A)`.
3538	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.8 Context Constraints	The `contextSelector` trait MUST be present. The SHACL-SPARQL constraint MUST use the following boolean condition:
3549	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.9 Reference Constraints (Reference Trait Predicates)	The set of reference-trait predicates MUST be exactly:
3555	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.9 Reference Constraints (Reference Trait Predicates)	Derived validation artifacts MUST support `ReferenceConstraint(type=ReferenceSingleton)`. The constraint MUST report a violation when more than one reference-trait predicate is present on the same focus node.
3557	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.9 Deterministic Projection to Derived Validation Artifacts > 9.9.9 Reference Constraints (Reference Trait Predicates)	Derived validation artifacts MUST support `ReferenceConstraint(type=ReferenceTraitAllowed)`. The constraint MUST provide a `traitName` trait whose value is one of `reference`, `target`, or `for`; a missing or invalid `traitName` is a `SchemaError` (§14).
